Title,Company,Skills,Region,City
lecturer in computer science,msa october university,"java, apis, net, communication, python, sql",6th of october,giza
computer science,europa schule neu kairo,"java, apis, net, communication, python, sql",new cairo,cairo
engineer maintenance  technical representative computer science  mobiles,raya distribution,"english, installationmaintenancerepair, biomedical engineering, arabic, mechatronics engineering, sla 3d printers, fdm 3d printers",shubra,cairo
ict  computer teacher  asten college british school,balanced education company,"icdl, tefl, teaching, education, computer, educationteaching",new cairo,cairo
lecturer for computer engineering program,may university in cairo,"system design, troubleshooting, problem solving",15th may city,cairo
lecturer in computer engineering,msa october university,"system design, troubleshooting, problem solving",6th of october,giza
it specialist,glc paints,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",obour city,cairo
senior ai engineer,lumin,"english, computer science, ai, arabic, presales, sales skills, proposal, information technology it, itsoftware development",sheikh zayed,giza
it help desk,aiu,"communication skills, computer science, mcsa, installation, ccna, information technology it, itsoftware development",alamein,matruh
rd assistant,confidential,"sales target, indoor sales, video games, salesretail, retail, outdoor sales, sales skills, microsoft office, customer service",6th of october,giza
it help desk specialist,egypro fme,"mcse, ccna, computer, information technology it, engineering  telecomtechnology, itsoftware development",maadi,cairo
it manager,blue nile,"crm, medical, infrastructure, computer science, manufacturing, scm, erp, software development, software engineering",zamalek,cairo
data scientist,hyve technology consulting,"analysis, statistics, research, software engineering, data mining, rdscience, telecom, data science, information technology it, sql",No Region,cairo
senior product associate,seoudi supermarket,"sales target, english, jewelry, salesretail, sales skills, 2 vacancies",sheikh zayed,giza
it specialist,influence communication,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",maadi,cairo
full stack developer,ebseg,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",maadi,cairo
service desk specialist,wadi group,"maintenance, computer science, mcsa, mcse, repair, installation, microsoft office, ccna, information technology it, help desk",sheikh zayed,giza
junior scrum master project manager,softprograms,"computer science, scrum master, project management, information technology it, planning, itsoftware development, jira",nasr city,cairo
